"[all run data]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]","count agents with [not active? and jail-term = 0]","count agents with [jail-term > 0]","count agents with [active?]"
,"1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0","1120","0","0"
,"984","136","0","927","171","22","985","135","0","951","141","28","981","139","0","1007","111","2","1029","91","0","986","134","0","708","285","127","984","135","1"
,"999","120","1","903","175","42","1000","120","0","869","163","88","1008","112","0","1028","92","0","1041","78","1","1002","118","0","706","316","98","1005","115","0"
,"1015","105","0","815","197","108","1017","103","0","774","197","149","1006","100","14","1043","77","0","1054","64","2","1024","96","0","689","344","87","1022","98","0"
,"1028","90","2","688","232","200","1032","88","0","705","224","191","949","102","69","1058","62","0","1067","52","1","1041","79","0","702","358","60","1031","80","9"
,"1040","79","1","660","266","194","1047","73","0","673","266","181","790","127","203","1045","55","20","1079","41","0","1007","79","34","711","368","41","942","86","92"
,"981","79","60","658","301","161","1060","60","0","664","311","145","658","172","290","977","78","65","1079","40","1","797","119","204","739","370","11","731","129","260"
,"771","120","229","654","341","125","1070","50","0","684","348","88","649","218","253","779","123","218","1082","38","0","635","161","324","768","351","1","630","181","309"
,"644","166","310","678","374","68","1084","36","0","710","376","34","654","258","208","641","173","306","1089","30","1","621","210","289","783","337","0","635","226","259"
,"633","220","267","696","398","26","1086","33","1","736","381","3","650","304","166","640","224","256","1091","29","0","623","257","240","798","321","1","628","279","213"
,"642","266","212","715","397","8","1067","33","20","751","369","0","656","344","120","643","274","203","1091","29","0","623","303","194","813","307","0","643","315","162"
,"649","308","163","736","384","0","928","61","131","762","358","0","674","375","71","644","321","155","1092","28","0","626","346","148","830","290","0","630","369","121"
,"655","353","112","749","371","0","663","118","339","780","340","0","691","400","29","644","371","105","1085","29","6","629","392","99","846","271","3","653","416","51"
,"667","400","53","763","357","0","628","175","317","790","330","0","712","408","0","670","406","44","966","48","106","655","434","31","849","269","2","677","435","8"
,"702","415","3","785","335","0","626","232","262","807","313","0","725","395","0","693","420","7","775","99","246","691","428","1","861","259","0","692","426","2"
,"718","401","1","798","322","0","639","276","205","815","305","0","737","382","1","707","411","2","644","158","318","704","415","1","876","243","1","709","410","1"
,"734","386","0","814","306","0","635","326","159","832","288","0","752","368","0","730","388","2","656","206","258","723","397","0","893","227","0","728","392","0"
,"752","368","0","835","285","0","650","367","103","856","261","3","767","352","1","744","376","0","651","262","207","739","381","0","909","211","0","749","371","0"
,"764","356","0","852","268","0","670","409","41","868","252","0","779","341","0","755","364","1","658","312","150","747","367","6","928","192","0","766","354","0"
,"785","335","0","866","254","0","699","421","0","887","233","0","798","322","0","774","345","1","669","363","88","755","363","2","943","177","0","787","333","0"
,"798","321","1","885","235","0","713","407","0","903","217","0","815","304","1","784","336","0","697","398","25","767","353","0","955","165","0","790","320","10"
,"809","311","0","899","221","0","723","396","1","919","201","0","834","286","0","805","315","0","716","404","0","786","334","0","971","149","0","796","313","11"
,"831","289","0","912","208","0","735","385","0","928","187","5","854","266","0","827","293","0","727","393","0","805","315","0","982","138","0","824","296","0"
,"855","265","0","928","192","0","746","374","0","893","196","31","872","248","0","846","273","1","745","374","1","830","290","0","996","124","0","843","277","0"
,"864","256","0","946","174","0","759","361","0","898","211","11","889","231","0","870","249","1","761","359","0","850","269","1","1018","102","0","856","264","0"
,"887","233","0","955","159","6","781","339","0","853","225","42","906","214","0","888","231","1","767","353","0","865","254","1","1034","86","0","872","248","0"
,"907","211","2","924","162","34","795","324","1","816","237","67","920","200","0","898","222","0","785","334","1","884","236","0","1028","76","16","886","233","1"
,"925","195","0","854","184","82","814","306","0","765","262","93","932","188","0","907","212","1","798","320","2","909","211","0","887","103","130","906","214","0"
,"940","180","0","764","213","143","835","285","0","712","308","100","953","167","0","925","194","1","817","303","0","925","193","2","677","147","296","922","198","0"
,"958","162","0","655","260","205","852","267","1","700","343","77","981","138","1","944","176","0","840","280","0","948","172","0","652","184","284","945","175","0"
,"972","148","0","651","289","180","862","258","0","725","376","19","999","120","1","955","165","0","851","267","2","968","152","0","640","232","248","950","161","9"
,"991","129","0","655","319","146","875","245","0","751","369","0","1018","102","0","967","151","2","862","257","1","985","135","0","648","271","201","912","158","50"
,"1004","116","0","653","359","108","891","229","0","775","345","0","1037","83","0","985","135","0","887","233","0","1000","119","1","647","314","159","814","177","129"
,"1020","100","0","670","396","54","908","212","0","803","317","0","1045","74","1","1011","109","0","897","222","1","1020","99","1","657","356","107","673","208","239"
,"1033","87","0","709","401","10","916","194","10","823","297","0","1058","62","0","1033","87","0","907","212","1","1042","78","0","681","403","36","649","234","237"
,"1043","77","0","727","393","0","879","193","48","839","281","0","1077","43","0","1042","78","0","892","200","28","1057","63","0","704","413","3","635","280","205"
,"1054","66","0","750","370","0","809","212","99","850","270","0","1089","31","0","1062","58","0","847","209","64","1066","54","0","720","400","0","638","323","159"
,"1043","52","25","775","345","0","732","243","145","867","253","0","1077","28","15","1074","45","1","810","231","79","1074","46","0","733","387","0","650","364","106"
,"925","72","123","797","323","0","662","276","182","880","240","0","899","53","168","1079","40","1","758","257","105","1080","40","0","749","371","0","668","396","56"
,"721","117","282","814","305","1","678","305","137","894","226","0","688","105","327","1088","32","0","706","294","120","1088","32","0","768","352","0","689","416","15"
,"633","170","317","828","292","0","685","329","106","908","212","0","639","161","320","1093","26","1","703","325","92","1091","29","0","786","333","1","724","393","3"
,"636","219","265","848","272","0","679","357","84","917","203","0","641","214","265","1082","31","7","726","356","38","1094","25","1","798","322","0","735","385","0"
,"637","270","213","864","256","0","688","390","42","935","185","0","643","266","211","1005","47","68","750","365","5","1097","23","0","818","302","0","754","366","0"
,"643","312","165","873","247","0","712","401","7","950","169","1","648","316","156","860","84","176","776","344","0","1044","35","41","836","283","1","774","344","2"
,"639","363","118","892","228","0","737","382","1","917","167","36","650","365","105","643","143","334","811","309","0","833","81","206","843","274","3","786","333","1"
,"661","408","51","907","212","1","754","366","0","888","191","41","691","400","29","633","199","288","831","289","0","618","133","369","838","264","18","804","316","0"
,"683","425","12","922","198","0","774","346","0","832","225","63","706","405","9","635","253","232","844","276","0","615","188","317","854","264","2","818","302","0"
,"700","420","0","941","179","0","787","333","0","760","259","101","724","396","0","637","304","179","847","263","10","618","239","263","872","247","1","838","282","0"
,"716","404","0","954","165","1","796","323","1","717","294","109","739","381","0","650","345","125","847","258","15","626","283","211","895","224","1","847","270","3"
,"740","380","0","971","149","0","821","299","0","695","334","91","756","364","0","672","392","56","862","256","2","625","328","167","910","210","0","866","254","0"
,"754","366","0","982","138","0","836","284","0","708","366","46","771","349","0","692","419","9","879","241","0","636","365","119","930","190","0","877","243","0"
